request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use the 3-payment installment option (payment_option_471) starting 2024-12-03; each payment keeps the balance above the USD 1,700.00 minimum."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 on 2025-05-05. This keeps the balance at or above the ZAR 31,200.00 minimum through the 90-day forecast."
request_168,25661.03,affordable_with_plan,partial_payment,2026-01-07:25661.03|2026-02-16:23718.97,2026-02-16,none,"Pay INR 25,661.03 now and the remaining INR 23,718.97 on 2026-02-16, once projected cash flow safely covers it."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976.00 on 2024-03-04. This keeps the balance at or above the ZAR 18,700.00 minimum through the 90-day forecast."
request_170,31526595.98,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,"Use the 3-payment installment option (payment_option_483) starting 2025-08-06; each payment keeps the balance above the IDR 24,715,800.00 minimum."
request_171,30.56,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 500.00 EUR minimum balance.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use the 2-payment installment option (payment_option_489) starting 2024-06-05; each payment keeps the balance above the ZAR 27,200.00 minimum."
request_173,62357.88,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-13,reduce_to:event_15946:2105,"Use the 3-payment installment option (payment_option_491) starting 2025-11-21; each payment keeps the balance above the INR 79,100.00 minimum."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use the 3-payment installment option (payment_option_494) starting 2026-04-04; each payment keeps the balance above the EUR 700.00 minimum.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 on 2024-09-06. This keeps the balance at or above the EUR 1,700.00 minimum through the 90-day forecast."
request_176,0.0,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 600.00 EUR minimum balance.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 on 2026-01-05. This keeps the balance at or above the USD 1,300.00 minimum through the 90-day forecast."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use the 3-payment installment option (payment_option_506) starting 2024-12-07; each payment keeps the balance above the EUR 1,400.00 minimum."
request_179,6458243.33,affordable_later,wait,2025-07-17:41648000,2025-07-17,none,"Wait and pay the full IDR 41,648,000.00 on 2025-07-17, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 on 2026-07-06. This keeps the balance at or above the INR 37,300.00 minimum through the 90-day forecast."
request_181,288.24,affordable_later,wait,2024-05-18:5059.20,2024-05-18,none,"Wait and pay the full USD 5,059.20 on 2024-05-18, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 on 2025-08-05. This keeps the balance at or above the ZAR 31,100.00 minimum through the 90-day forecast."
request_183,23107211.77,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-14,none,"Use the 3-payment installment option (payment_option_521) starting 2026-04-10; each payment keeps the balance above the IDR 11,878,300.00 minimum."
request_184,9316.1,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 110,800.00 INR minimum balance."
request_185,408.5,affordable_later,wait,2026-01-13:1257.30,2026-01-13,none,"Wait and pay the full EUR 1,257.30 on 2026-01-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_186,9628.1,affordable_later,wait,2026-03-19:26554,2026-03-19,none,"Wait and pay the full ZAR 26,554.00 on 2026-03-19, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_187,38384.36,affordable_later,wait,2024-11-13:187500,2024-11-13,none,"Wait and pay the full INR 187,500.00 on 2024-11-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_188,106.3,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 900.00 EUR minimum balance.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 on 2026-07-04. This keeps the balance at or above the EUR 400.00 minimum through the 90-day forecast.
request_190,444.74,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Wait and pay the full EUR 2,557.50 on 2024-12-15, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 on 2025-05-03. This keeps the balance at or above the EUR 500.00 minimum through the 90-day forecast.
request_192,245.7,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,000.00 USD minimum balance."
request_193,143.9,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-14,none,"Use the 3-payment installment option (payment_option_549) starting 2024-03-21; each payment keeps the balance above the EUR 1,000.00 minimum."
request_194,34703.75,affordable_later,wait,2025-10-24:132800,2025-10-24,none,"Wait and pay the full INR 132,800.00 on 2025-10-24, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_195,937.84,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-16,none,Use the 3-payment installment option (payment_option_555) starting 2026-01-09; each payment keeps the balance above the EUR 700.00 minimum.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 on 2024-06-03. This keeps the balance at or above the EUR 500.00 minimum through the 90-day forecast.
request_197,22525601.88,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 26,245,900.00 IDR minimum balance."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 on 2026-07-07. This keeps the balance at or above the INR 124,300.00 minimum through the 90-day forecast."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use the 3-payment installment option (payment_option_569) starting 2024-09-07; each payment keeps the balance above the IDR 25,359,500.00 minimum."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 on 2025-02-06. This keeps the balance at or above the IDR 20,114,600.00 minimum through the 90-day forecast."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 on 2026-04-03. This keeps the balance at or above the IDR 17,304,500.00 minimum through the 90-day forecast."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 on 2024-12-05. This keeps the balance at or above the INR 147,800.00 minimum through the 90-day forecast."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use the 3-payment installment option (payment_option_583) starting 2025-05-10; each payment keeps the balance above the EUR 1,400.00 minimum."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 on 2026-01-04. This keeps the balance at or above the EUR 1,300.00 minimum through the 90-day forecast."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 on 2024-03-06. This keeps the balance at or above the IDR 13,994,300.00 minimum through the 90-day forecast."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the 3-payment installment option (payment_option_592) starting 2025-08-03; each payment keeps the balance above the EUR 900.00 minimum.
request_207,4205.61,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait and pay the full ZAR 11,830.00 on 2026-07-15, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_208,3104179.08,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,"Wait and pay the full IDR 4,413,000.00 on 2024-06-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_209,1808.74,not_affordable,not_recommended,none,2026-01-13,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 18,400.00 ZAR minimum balance."
request_210,950.95,affordable_with_plan,partial_payment,2026-04-06:950.95|2026-04-14:409.07,2026-04-14,none,"Pay USD 950.95 now and the remaining USD 409.07 on 2026-04-14, once projected cash flow safely covers it."
request_211,288.07,affordable_later,wait,2024-09-13:1788.60,2024-09-13,none,"Wait and pay the full EUR 1,788.60 on 2024-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_212,6091312.78,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 29,579,800.00 IDR minimum balance."
request_213,3215.21,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,,reduce_to:event_19550:34.80|stop:event_19549,"Use the 3-payment installment option (payment_option_610) starting 2026-01-21; each payment keeps the balance above the USD 2,100.00 minimum."
request_214,46480.56,affordable_with_plan,partial_payment,2024-12-04:46480.56|2024-12-16:23269.44,2024-12-16,none,"Pay INR 46,480.56 now and the remaining INR 23,269.44 on 2024-12-16, once projected cash flow safely covers it."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use the 3-payment installment option (payment_option_616) starting 2025-05-09; each payment keeps the balance above the ZAR 15,700.00 minimum."
request_216,472.13,affordable_later,wait,2026-09-13:3332.40,2026-09-13,none,"Wait and pay the full USD 3,332.40 on 2026-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_217,19686.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use the 3-payment installment option (payment_option_622) starting 2024-03-19; each payment keeps the balance above the ZAR 26,800.00 minimum."
request_218,28262974.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,"Use the 3-payment installment option (payment_option_625) starting 2025-08-07; each payment keeps the balance above the IDR 34,477,200.00 minimum."
request_219,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,100.00 EUR minimum balance."
request_220,50.71,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,100.00 EUR minimum balance."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 on 2025-11-03. This keeps the balance at or above the INR 81,500.00 minimum through the 90-day forecast."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 on 2026-01-05. This keeps the balance at or above the ZAR 27,300.00 minimum through the 90-day forecast."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 on 2024-09-07. This keeps the balance at or above the EUR 800.00 minimum through the 90-day forecast.
request_224,9894269.18,affordable_with_plan,partial_payment,2025-02-04:9894269.18|2025-02-14:432730.82,2025-02-14,none,"Pay IDR 9,894,269.18 now and the remaining IDR 432,730.82 on 2025-02-14, once projected cash flow safely covers it."
request_225,9380382.41,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,"Use the 3-payment installment option (payment_option_647) starting 2026-07-20; each payment keeps the balance above the IDR 17,670,700.00 minimum."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 on 2024-12-03. This keeps the balance at or above the INR 209,400.00 minimum through the 90-day forecast."
request_227,7699.12,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 62,900.00 INR minimum balance."
request_228,6655299.72,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 26,191,200.00 IDR minimum balance."
request_229,368.05,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,stop:event_21031|stop:event_21032,"Use the 3-payment installment option (payment_option_659) starting 2024-03-18; each payment keeps the balance above the EUR 1,000.00 minimum."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 on 2025-08-06. This keeps the balance at or above the EUR 2,000.00 minimum through the 90-day forecast."
request_231,34068.65,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-14,none,"Use the 3-payment installment option (payment_option_666) starting 2026-01-06; each payment keeps the balance above the ZAR 24,300.00 minimum."
request_232,441.5,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 2,400.00 EUR minimum balance."
request_233,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 10,365,700.00 IDR minimum balance."
request_234,230.3,affordable_later,wait,2026-09-13:1213.30,2026-09-13,none,"Wait and pay the full EUR 1,213.30 on 2026-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 on 2024-09-06. This keeps the balance at or above the USD 700.00 minimum through the 90-day forecast.
request_236,6081340.68,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 16,768,600.00 IDR minimum balance."
request_237,23014825.97,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,reduce_to:event_21813:548720,"Pay IDR 23,826,000.00 on 2026-04-05. This keeps the balance at or above the IDR 22,431,500.00 minimum through the 90-day forecast."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the 3-payment installment option (payment_option_686) starting 2024-12-07; each payment keeps the balance above the USD 700.00 minimum.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 on 2025-05-04. This keeps the balance at or above the USD 600.00 minimum through the 90-day forecast.
request_240,14534.05,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 52,800.00 INR minimum balance."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use the 3-payment installment option (payment_option_695) starting 2024-03-17; each payment keeps the balance above the IDR 19,252,000.00 minimum."
request_242,0.0,not_affordable,not_recommended,none,,none,No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 600.00 EUR minimum balance.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 on 2026-07-07. This keeps the balance at or above the ZAR 19,900.00 minimum through the 90-day forecast."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 on 2024-06-04. This keeps the balance at or above the ZAR 45,900.00 minimum through the 90-day forecast."
request_245,32279.05,affordable_later,wait,2026-01-13:128500,2026-01-13,none,"Wait and pay the full INR 128,500.00 on 2026-01-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,reduce_to:event_22614:926.64,"Use the 3-payment installment option (payment_option_710) starting 2026-04-03; each payment keeps the balance above the ZAR 39,300.00 minimum."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 on 2024-09-05. This keeps the balance at or above the EUR 1,300.00 minimum through the 90-day forecast."
request_248,325.46,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,300.00 USD minimum balance."
request_249,132.37,affordable_later,wait,2026-03-19:643.20,2026-03-19,none,"Wait and pay the full USD 643.20 on 2026-03-19, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_250,16056.71,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 35,300.00 ZAR minimum balance."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,300.00 EUR minimum balance."
request_252,4541677.74,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,"Wait and pay the full IDR 28,082,000.00 on 2026-09-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_253,1383.13,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-18,none,"Use the 3-payment installment option (payment_option_729) starting 2024-03-21; each payment keeps the balance above the EUR 2,300.00 minimum."
request_254,871.67,affordable_later,wait,2025-10-13:3535.20,2025-10-13,none,"Wait and pay the full USD 3,535.20 on 2025-10-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 on 2026-04-06. This keeps the balance at or above the IDR 9,813,900.00 minimum through the 90-day forecast."
request_256,162148.45,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-14,none,"Use the 3-payment installment option (payment_option_737) starting 2024-06-10; each payment keeps the balance above the INR 168,600.00 minimum."
request_257,394.59,affordable_later,wait,2025-11-14:1352.40,2025-11-14,none,"Wait and pay the full USD 1,352.40 on 2025-11-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 on 2026-01-07. This keeps the balance at or above the USD 500.00 minimum through the 90-day forecast."
request_259,453.0,affordable_later,wait,2024-10-14:935,2024-10-14,none,"Wait and pay the full EUR 935.00 on 2024-10-14, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_260,7833659.35,affordable_with_plan,partial_payment,2025-02-06:7833659.35|2025-04-15:44245340.65,2025-04-15,none,"Pay IDR 7,833,659.35 now and the remaining IDR 44,245,340.65 on 2025-04-15, once projected cash flow safely covers it."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 on 2026-07-03. This keeps the balance at or above the EUR 1,500.00 minimum through the 90-day forecast."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 on 2024-12-05. This keeps the balance at or above the IDR 31,018,500.00 minimum through the 90-day forecast."
request_263,5256.59,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 24,100.00 ZAR minimum balance."
request_264,23012.52,affordable_later,wait,2026-06-13:111300,2026-06-13,none,"Wait and pay the full INR 111,300.00 on 2026-06-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_265,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 189,700.00 INR minimum balance."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use the 3-payment installment option (payment_option_764) starting 2025-08-03; each payment keeps the balance above the EUR 900.00 minimum.
request_267,1644.69,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-13,none,"Use the 3-payment installment option (payment_option_767) starting 2026-01-08; each payment keeps the balance above the EUR 1,500.00 minimum."
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use the 3-payment installment option (payment_option_770) starting 2024-06-14; each payment keeps the balance above the EUR 1,400.00 minimum."
request_269,0.0,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 23,100.00 ZAR minimum balance."
request_270,96.77,not_affordable,not_recommended,none,,none,"No eligible payment method from the user's accepted list is safe within the 90-day forecast without breaking the 1,400.00 USD minimum balance."
request_271,13832.03,affordable_later,wait,2024-11-13:91300,2024-11-13,none,"Wait and pay the full INR 91,300.00 on 2024-11-13, the earliest date the forecast shows it as safe; paying sooner would breach the minimum balance."
request_272,6012827.37,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use the 3-payment installment option (payment_option_780) starting 2025-02-12; each payment keeps the balance above the IDR 7,508,600.00 minimum."
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-14:6384128.91,2026-04-14,none,"Pay IDR 9,476,871.09 now and the remaining IDR 6,384,128.91 on 2026-04-14, once projected cash flow safely covers it."
request_274,2083.08,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-16,reduce_to:event_25181:51.60|stop:event_25180,"Use the 3-payment installment option (payment_option_785) starting 2024-12-04; each payment keeps the balance above the EUR 1,800.00 minimum."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 on 2025-05-06. This keeps the balance at or above the IDR 12,760,100.00 minimum through the 90-day forecast."
